1568798226842|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table t_coffee if exists |drop table t_coffee if exists 
1568798226842|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table t_order if exists |drop table t_order if exists 
1568798226842|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|drop table t_order_coffee if exists |drop table t_order_coffee if exists 
1568798226851|8|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table t_coffee ( id bigint auto_increment, create_time timestamp, update_time timestamp, name varchar(255), price bigint, primary key (id) )|create table t_coffee ( id bigint auto_increment, create_time timestamp, update_time timestamp, name varchar(255), price bigint, primary key (id) )
1568798226853|1|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table t_order ( id bigint auto_increment, create_time timestamp, update_time timestamp, customer varchar(255), state integer not null , primary key (id) )|create table t_order ( id bigint auto_increment, create_time timestamp, update_time timestamp, customer varchar(255), state integer not null , primary key (id) )
1568798226853|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|create table t_order_coffee ( coffee_order_id bigint not null , items_id bigint not null )|create table t_order_coffee ( coffee_order_id bigint not null , items_id bigint not null )
1568798226892|6|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into t_coffee (name, price, create_time, update_time) values ( 'espresso', 2000, now(), now() )|insert into t_coffee (name, price, create_time, update_time) values ( 'espresso', 2000, now(), now() )
1568798226893|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into t_coffee (name, price, create_time, update_time) values ( 'latte', 2500, now(), now() )|insert into t_coffee (name, price, create_time, update_time) values ( 'latte', 2500, now(), now() )
1568798226893|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into t_coffee (name, price, create_time, update_time) values ( 'capuccino', 2500, now(), now() )|insert into t_coffee (name, price, create_time, update_time) values ( 'capuccino', 2500, now(), now() )
1568798226894|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into t_coffee (name, price, create_time, update_time) values ( 'mocha', 3000, now(), now() )|insert into t_coffee (name, price, create_time, update_time) values ( 'mocha', 3000, now(), now() )
1568798226894|0|statement|connection 0|url jdbc:p6spy:h2:mem:testdb|insert into t_coffee (name, price, create_time, update_time) values ( 'macciato', 3000, now(), now() )|insert into t_coffee (name, price, create_time, update_time) values ( 'macciato', 3000, now(), now() )
